beresut	Masam muka
bersalaman	Berjabat tangan
bersit	Terpacul
bersin	Bersin
bersih	Tidak kotor,suci
berenga	Telur langau
berangta	Bercinta
berak	Buang Air Besar
berkenan	Setuju
berembang	Sejenis pohon ditepi sungai
beremban	Nama sejenis pokok
bermula	Mulai
bermi	Nama sejenis rumput dekat air
brandi	Minuman yang mabuk
bernas	Gemuk
berenang	Berenang
berniaga	Berjual beli
beruti	Papan yang tidak lebar
berus	Perkakas pembersih
beruk	Sejenis monyet
beritahu	Menyatakan
bering-bering	Bunyian yang bising
beringin	Pohon besar
bas	Kereta besar
biskuit	Roti keras
basikal	Sepeda
bangsal	Rumah panjang bagi sementara
bangsi	Sejenis serunai
bankrap	Tidak terbayar hutang
bengkarung	Sejenis cicak
bengkawan	Alat untuk membuat atap
bangkai	Binatang yang mati
bengkalis	Pulau bengkalis
bangkit	Bangun
banggul	Timbul
benguk	Bengkok
bengah	Duduk dengan meninggikan badan
bengis	Naik marah
bekal	Makanan yang dibawa diperjalanan
beku	Keras
belebas	Kayu melintang bagi dinding
belebau	Belasah
belebat	Nama kuih dari pada ubi dikukus
belat	Sejenis Kelong
baldi	Timba dari timah sari
belas	Kasihan
belangkas	Sejenis ketam yang besar
belenggu	Rantai besar
belak	Coreng-coreng
belemang	Nama sejenis kuih pulut
belantik	Jerat
belut	Ikan yang panjang
belukar	Hutan muda
belukang	Ikan yang berduri
belulang	tulang binatang
belibit	Tepi kain yang bergulung
belibis	Sejenis itik yang besar
belit	Lilit keliling
belerang	Tanah atau batu warna nya kuning
belikat	Arah belakanga bertentangan dengan dada
belimbing	Benda-benda yang bergelugur
bantut	Kueh tak jadi
bentan	Berbalik sakit
bantah	Larang
bancuh	Melarutkan
benci	Tidak suka
benderang	Terang
bendul	Kayu pemidang rumah
benak 	tiada tajam otak
benam	Tekan
bani	Kaum
benih	Biji atau anak daripada pokok yang hendak ditanam
banin	Saudagar
benyek	Lembut
buas	Garang
buak-buak	Naik menggelegak
bual	Berbicara
buah	Buah
buah pinggang	Daging
buah mata	Pandangan orang
buah mulut	Percakapan orang
buah hati	Yang dikasihi
buah hulu	Bahulu
buai	Ayunan
bubu	Perangkap ikan
bot	Perahu kecil
butang	Kancing
botak	Tak berambut
bujut	Kusut
butut	keretot
bujangga 	Bujang
bujal	Terjojol
buci	Fikiran yang sempurna
bocor	Berlubang
bujuk	Sejenis ikan dari pada jenis haruan
bocong	Kendi tiada tutup
bucu	Penjuru
budak	Anak-anak
budak sekolah	Anak sekolah
bodot	Seakan-akan bodoh
bodoh	Dungu,tolol,bebal,bingung
budi	Pemberian
budi bahasa 	Baik pekerti
bodek	Buah kemaluan yang besar sebab penyakit
boros	Tidak hemat
borang	Lakar
burung	Unggas yang terbang
burak	Buka
buru	Kejar
borong	Ikat upah
buruk	Rusak
burai	Terkeluar
boria	Permainan bernyanyi
burit	Lubang tongkeng
borek	Jenis bulu ayam yang bercampur putih
boreh	Beras dibasuh kemudian digiling jadi bedak
bokek	Tiada kuat
bogok	Gemuk
bogi	Sejenis kereta kenaikan empat roda ditarik oleh kuda
bogel	Telanjang 
bolang-baling	Pusing angin
bulak	Bukan
bulur	Kelaparan
bolos	Licin
bolong	Lantas
buluh	Bambu
boleh	Boleh
bolok	Bengkak
buli-buli	Bekas yang bulat lagi kecil
bumbung	Kemuncak rumah
buntuk	Pendek
bunting	Mengandung
bunting sarat	Bunting hampir akan melahirkan
bunting pelamin	Kahwin-kahwin sahaja terus hamil
bunting kerbau	Lebih dari 9 bulan
bonjol	Bengkak terjojol
buncis	Nama sejenis kacang
buncit	Perut besar
bunian	Orang halus
bahwasanya	Sesungguh nya
bela	Pelihara
belatuk	Nama sejenis burung
belacan	Sejenis perencah dari udang yang dihancurkan dan dikeringkan
belacu	Kain putih benang mentah
belading	Sejenis parang lentik
belasah	Mukul orang
belanga	Tempat masak nasi
belalak	Terbuka besar
biang	Gatal,sundal,nakal
bibir	Tepi mulut
bibit	Biji benih
becok	Riuh,berisik
bidas	Bahasa dalam permainan gulu
bidang	Lebar Pada dada
biduan	Penyanyi panggung
biduk	Suatu jenis perahu
baiduri	Sejenis permata
birat	Bekas kena pukul
berang	Panas hati
berak	Buang air besar
biram	Warna gelap
berot	Tidak lurus
bini	Istri
biuku	Sejenis kura-kura
benyai	Nasi yang tidak masak
belot	Tidak setia
cabar	Mencabar
cabang	Cuba
cabut	Keluar
cabut undi	Menentukan pendapatannya ikut nasib
cabus	Kosong
cabuk	Cemeti
cabul	Mencabul
cabai	Cabe
cabir	Koyak berkeping keping
cabik	Koyak yang kecil tetapi tidak putus cebisnya
catu	Beri sedikit-sedikit
catur	Nama sejenis permainan
cacat	Rusak
cacar	Sakit ketumbuh
cacar air	Sakit akan akan ketumbuh tetapi tiada bahaya
cacing	Ulat yang panjang 
cadar	Kain alas tidur
cadang	Cadangan
carut	Bilang kotor
caru	Nama ikan
capak	Mudah
caping	Penekup urat hdapan bagi anak-anak
cakar	Ragas
cakap	Tutur kata
cakuk	Kait
cagar	Mencagarkan
cagu	Sejenis kudis
canguk	Duduk menunjukkan kepala
capak	Mudah
capai	Diambil atau pegang benda jauh dengan hujung  tangan
cawat	Celana dalam untuk bayi
caing	Koyak berkeping-keping
cair	Sifat yang boleh mengalir
cebur	Bunyi jatuh kedalam air
ceratuk 	Duduk beramai-ramai
ceroboh 	Melanggar aturan
cerut	Ikat rapat dan terik
ceruh	Rendam
cerah	Terang
cerai	Berpecah
ceridau	Keliau
cerewet	Banyak kehendak
cengkaruk	Nyiur muda dicakar ditaruh airnya
cengang	Kelakuan menunjukkan hairan
cengap	Bunyi makan
cengkerik	Sejenis binatang yang bunyi nya nyaring
cengkang	Bertengkar
cengkam	Dipegang kuat terutama kalau dengan jari yang berkuku
cangkir	Cawan
canggung	Sumbang
canggai	Kuku panjang
cekah	Buka,koyakkan
ceking	Tahan belanja
cegat	Tercancang
celebur	Terjun kedalam air
celak	Pantis atas mata atau bibir mata
celempung	Bunyi air
celoteh	Bercakap bermacam-macam
celur	Rebus
celupar	Cakap yang tiada berjaga
celumis	Pengotor
celah	Antara dua benda yang hampir atau rapat
celis	Tiada cukup makan
celengkok	Lengkung,bengkok
celik	Terbuka mata
cemik	Muka mencebik
cinta	Bercinta
cencaluk	Nama sejenis pekasam udang yang halus
cencorot	Sejenis binatang terbesar dari pada cengkerik
cincing	Lari muting
cincin	Lengkang pakai di jari
cendawan	Sejenis tumbuhan terutama pada kayu mati
candat	Sejenis mata kail yang berpeluntang
cuai	Lalai
cubak	Koyak
cubit	Sepit dengan jari
cobek	Tempat melecek garam atau lada
cutuk	Duduk beramai
cuit	Hujung yang kecil
cuca	Ditahan
